"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","20,800","13","202202","24"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","일반","1***","논현로16길","제2종일반주거","제2종근린생활","25m미만","753.46","281.30","700,000","null","202203","7"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","12m미만","45.72"," ","79,000","null","202203","16"," ","1984","20220519","중개거래","서울 강남구, 서울 도봉구"
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제2종근린생활","25m이상","73.02"," ","98,000","null","202203","18"," ","1984","","중개거래","서울 강남구, 서울 도봉구"
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제1종근린생활","25m미만","26.79"," ","55,000","2","202203","18"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","12m미만","41.58"," ","63,000","3","202203","19"," ","1984","20220418","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","판매","25m미만","196.72"," ","600,000","null","202203","22"," ","1984","20220430","중개거래","서울 강남구"
"서울특별시 강남구 개포동","일반","1**","선릉로6길","준주거","제1종근린생활","8m미만","830.74","341.80","1,000,000","null","202204","6"," ","1987","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","13.53"," ","8,255","null","202204","8"," ","1984","","직거래","-"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","17.68"," ","10,777","null","202204","11"," ","1984","","직거래","-"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제1종근린생활","25m미만","8.35"," ","18,567","20","202204","11"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제1종근린생활","25m미만","8.35"," ","18,567","20","202204","11"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제1종근린생활","25m미만","8.35"," ","18,567","20","202204","11"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","88.01"," ","118,000","null","202204","14"," ","1984","","중개거래","경기 광주시, 서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","14.04"," ","51,000","null","202204","14"," ","1984","20220623","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","12m미만","41.58"," ","63,000","3","202204","18"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","판매","25m미만","196.72"," ","600,000","null","202204","21"," ","1984","20220930","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","판매","25m미만","196.72"," ","600,000","null","202204","21"," ","1984","20220509","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","9.36"," ","37,000","null","202204","30"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","8.19"," ","31,000","null","202204","30"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","-","제2종일반주거","제2종근린생활","25m이상","15.28"," ","30,000","null","202205","6"," ","2020","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m미만","9.23"," ","13,700","null","202205","6"," ","2021","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","논현로6길","제2종일반주거","제2종근린생활","12m미만","30.42"," ","30,000","4","202205","13"," ","2015","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","논현로6길","제2종일반주거","제2종근린생활","12m미만","51.22"," ","48,000","4","202205","13"," ","2015","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","14.36"," ","70,000","1","202205","18"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","12m미만","45.72"," ","79,000","3","202205","19"," ","1984","","중개거래","서울 강남구, 서울 도봉구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","12m미만","176.16"," ","150,000","null","202205","25"," ","1984","","중개거래","서울 강남구, 서울 도봉구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","판매","25m이상","18.44"," ","58,000","null","202206","8"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","8.43"," ","8,000","null","202206","9"," ","1986","","직거래","-"
"서울특별시 강남구 개포동","집합","1**","선릉로8길","준주거","제1종근린생활","8m미만","789.72"," ","1,161,000","null","202206","9"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","27.8"," ","83,600","null","202206","10"," ","1984","20220906","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","판매","25m이상","27.8"," ","83,600","null","202206","10"," ","1984","20230103","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m이상","10.75"," ","100,000","null","202206","11"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","17.68"," ","18,000","3","202206","13"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","일반","1***","논현로8길","제2종일반주거","제2종근린생활","8m미만","428.94","183.00","360,000","null","202206","14"," ","1993","","중개거래","서울 서초구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","105.3"," ","150,000","null","202206","21"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","판매","25m이상","22.54"," ","70,500","null","202206","21"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","일반","1***","논현로14길","제2종일반주거","제2종근린생활","12m미만","821.48","256.30","651,000","null","202206","22"," ","1991","","중개거래","-"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","14.04"," ","51,000","null","202206","23"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","42.15"," ","57,000","null","202206","25"," ","2018","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","업무","25m이상","10.75"," ","100,000","null","202206","25"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","21.54"," ","60,500","null","202206","29"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","21.54"," ","60,500","1","202206","29"," ","1998","20220718","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제1종근린생활","25m미만","37.72"," ","50,000","null","202207","8"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","14.04"," ","63,600","null","202207","13"," ","1984","20221205","중개거래","서울 강남구"
"서울특별시 강남구 개포동","일반","1***","개포로","준주거","제2종근린생활","25m미만","1678.23","360.30","1,350,000","null","202207","15"," ","2004","","중개거래","서울 서초구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","7.8"," ","8,000","null","202207","18"," ","1998","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202207","21"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","21.54"," ","57,900","1","202207","29"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","판매","25m미만","196.72"," ","600,000","null","202208","31"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","182.01"," ","145,000","null","202209","14"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.86"," ","22,500","25","202209","14"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제2종근린생활","25m미만","26.79"," ","57,500","2","202209","21"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제1종근린생활","25m미만","11.32"," ","15,000","1","202209","21"," ","1987","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","23.4"," ","20,000","null","202209","22"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202209","22"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제2종근린생활","25m이상","49.99"," ","77,000","2","202209","28"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202210","5"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","8m미만","120.7"," ","33,000","null","202210","11"," ","1984","","중개거래","경기 남양주시, 서울 강남구"
"서울특별시 강남구 개포동","집합","1***","논현로2길","제2종일반주거","제2종근린생활","8m미만","39.59"," ","32,700","1","202210","11"," ","2015","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","8m미만","120.7"," ","33,000","null","202210","11"," ","1984","20221108","중개거래","경기 남양주시, 서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","28.6"," ","210,000","1","202210","12"," ","1984","20230102","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","10"," ","7,500","5","202210","17"," ","1998","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","13.52"," ","9,500","5","202210","17"," ","1998","","직거래","-"
"서울특별시 강남구 개포동","집합","6**","언주로","제2종일반주거","제2종근린생활","25m이상","6.73"," ","13,700","null","202210","20"," ","1987","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","31.91"," ","20,000","6","202210","20"," ","1997","","중개거래","경기 용인기흥구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202210","24"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202210","24"," ","1998","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","11.7"," ","8,548","null","202211","4"," ","1984","","직거래","-"
"서울특별시 강남구 개포동","집합","1***","개포로35길","제2종일반주거","제2종근린생활","8m미만","53.84"," ","45,000","1","202211","5"," ","2022","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202211","7"," ","1998","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","15.6"," ","10,000","null","202211","16"," ","1998","","직거래","-"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","31.91"," ","21,700","25","202211","30"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","14.04"," ","63,600","null","202212","5"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","22,700","22","202212","17"," ","1997","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","100.8"," ","170,500","3","202212","19"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","28.6"," ","210,000","1","202212","20"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","1***","언주로7길","제2종일반주거","제2종근린생활","-","36.47"," ","92,000","2","202212","26"," ","2022","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제1종근린생활","25m미만","8.35"," ","50,000","20","202212","29"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","97.24"," ","121,857","null","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","19.41"," ","24,317","1","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제1종근린생활","8m미만","28.89"," ","36,209","2","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","28.46"," ","35,666","4","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","29.28"," ","36,691","5","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제1종근린생활","8m미만","24.25"," ","30,392","2","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","29.05"," ","36,406","3","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","24.25"," ","30,392","3","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","28.89"," ","36,209","3","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제1종근린생활","8m미만","29.05"," ","36,406","2","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","23.67"," ","29,655","5","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","1**","논현로119길","제2종일반주거","제2종근린생활","8m미만","28.57"," ","35,798","4","202201","3"," ","2019","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","집합","2**","학동로","일반상업","제1종근린생활","25m이상","68.36"," ","135,000","2","202201","11"," ","2005","20220222","중개거래","서울 송파구"
"서울특별시 강남구 논현동","일반","5*","논현로131길","제3종일반주거","제2종근린생활","8m미만","493.18","194.30","430,000","null","202201","11"," ","1998","","직거래","-"
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","제2종근린생활","25m이상","30.03"," ","18,900","9","202201","11"," ","2003","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","학동로","일반상업","제1종근린생활","25m이상","68.36"," ","135,000","2","202201","11"," ","2005","","중개거래","서울 송파구"
"서울특별시 강남구 논현동","일반","1*","논현로145길","제1종일반주거","제2종근린생활","12m미만","683.08","252.00","1,200,000","null","202201","12"," ","2018","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","9*","선릉로145길","제2종일반주거","제1종근린생활","25m미만","915.65","496.00","2,190,000","null","202201","13"," ","2007","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","일반","6*","도산대로30길","제2종일반주거","제2종근린생활","8m미만","829.56","306.60","1,350,000","null","202201","14"," ","2011","20220210","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","6*","도산대로30길","제2종일반주거","제2종근린생활","8m미만","829.56","306.60","1,350,000","null","202201","14"," ","2011","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","언주로","일반상업","제2종근린생활","25m이상","400.67"," ","173,000","null","202201","20"," ","2005","","직거래","-"
"서울특별시 강남구 논현동","일반","1**","강남대로128길","제3종일반주거","제2종근린생활","8m미만","456.94","180.40","640,000","null","202201","24"," ","2011","20220502","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","학동로","제3종일반주거","제1종근린생활","25m이상","45.56"," ","50,000","3","202201","25"," ","2005","","직거래","-"
"서울특별시 강남구 논현동","집합","2**","학동로","제3종일반주거","제1종근린생활","25m이상","45.56"," ","50,000","3","202201","25"," ","2005","","직거래","-"
"서울특별시 강남구 논현동","일반","2**","언주로125길","제2종일반주거","제2종근린생활","8m미만","93.64","60.78","125,631","null","202201","25"," ","1982","","직거래","-"
"서울특별시 강남구 논현동","일반","1**","언주로134길","제3종일반주거","제2종근린생활","25m미만","380.89","255.50","1,160,000","null","202201","25"," ","1984","20220127","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","2**","봉은사로","일반상업","업무","25m이상","2541.48","720.30","4,150,000","null","202202","4"," ","1986","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","2*","논현로135길","제1종일반주거","제2종근린생활","8m미만","207.83","398.60","720,000","null","202202","4"," ","1977","20220518","직거래","-"
"서울특별시 강남구 논현동","일반","2*","논현로135길","제1종일반주거","제2종근린생활","8m미만","207.83","398.60","716,000","null","202202","4"," ","1977","","직거래","-"
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","숙박","25m이상","30.03"," ","19,000","6","202202","9"," ","2003","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","7*","언주로147길","제3종일반주거","제2종근린생활","8m미만","632.5","249.70","920,000","null","202202","15"," ","1989","","중개거래","서울 서초구"
"서울특별시 강남구 논현동","일반","9*","언주로150길","제2종일반주거","제2종근린생활","8m미만","462.16","213.10","480,000","null","202202","16"," ","1994","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","1**","논현로115길","제2종일반주거","제1종근린생활","8m미만","1073.47","333.50","1,300,000","null","202202","17"," ","1995","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","3*","논현로145길","제1종일반주거","제2종근린생활","8m미만","161.03"," ","332,000","1","202202","18"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","3*","논현로145길","제1종일반주거","제2종근린생활","8m미만","161.32"," ","332,000","2","202202","18"," ","1984","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","숙박","25m이상","30.03"," ","20,000","13","202202","18"," ","2003","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","1**","선릉로133길","제3종일반주거","제2종근린생활","8m미만","631.81","216.20","775,323","null","202202","21"," ","1996","","직거래","-"
"서울특별시 강남구 논현동","집합","2**","-","일반상업","제2종근린생활","25m이상","59.18"," ","63,000","2","202202","23"," ","2007","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","2**","학동로50길","제3종일반주거","제2종근린생활","8m미만","541.67","213.30","1,000,000","null","202202","24"," ","2002","20220408","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","숙박","25m이상","30.03"," ","20,000","12","202202","28"," ","2003","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","제2종근린생활","25m이상","30.03"," ","19,450","7","202203","2"," ","2003","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","2**","봉은사로29길","제3종일반주거","제2종근린생활","12m미만","687.6","217.90","860,000","null","202203","7"," ","2021","","직거래","-"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","48.38"," ","79,877","1","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","132.82"," ","219,292","4","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","68.6"," ","113,262","3","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","62.6"," ","103,355","3","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","54.38"," ","89,784","2","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","26.01"," ","42,944","2","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","48.38"," ","79,877","2","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","54.38"," ","89,784","1","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","7*","학동로33길","제1종일반주거","제2종근린생활","8m미만","49.56"," ","81,826","1","202203","10"," ","2001","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제1종근린생활","25m이상","203.63"," ","382,800","11","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제1종근린생활","25m이상","203.63"," ","382,800","12","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제2종근린생활","25m이상","78"," ","147,200","15","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","635.18"," ","666,900","null","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제2종근린생활","25m이상","380.92"," ","320,000","null","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","223.76"," ","420,700","6","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","203.63"," ","382,800","7","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","203.63"," ","382,800","8","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","203.63"," ","382,800","9","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제1종근린생활","25m이상","203.63"," ","382,800","10","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제2종근린생활","25m이상","203.63"," ","382,800","14","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","229.17"," ","430,800","5","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","판매","25m이상","248.11"," ","466,400","4","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","집합","6*","도산대로","일반상업","제1종근린생활","25m이상","203.63"," ","382,800","13","202203","11"," ","2006","","직거래","-"
"서울특별시 강남구 논현동","일반","1**","강남대로124길","제2종일반주거","제2종근린생활","8m미만","774.55","266.50","700,000","null","202203","11"," ","1985","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","일반","1**","강남대로124길","제2종일반주거","제2종근린생활","8m미만","774.55","266.50","700,000","null","202203","11"," ","1985","20220325","중개거래","서울 강남구"
